"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"HQI","Hermanns Richard","President and CEO","""Apr 16",,"6","2500","16599","5848690","""Apr 20"," 2020"," 04:06 PM"""
"HQI","JACKSON EDWARD","Director","""Apr 17",,"6","700","4690","2542794","""Apr 20"," 2020"," 04:04 PM"""
"HQI","JACKSON EDWARD","Director","""Apr 16",,"6","1552","10398","2542094","""Apr 20"," 2020"," 04:04 PM"""
"SPWR","TOTAL S.A.","Director","""Apr 17",,"6","18905","124612","87840263","""Apr 20"," 2020"," 03:30 PM"""
"SPWR","TOTAL S.A.","Director","""Apr 16",,"6","66769","434686","87821358","""Apr 20"," 2020"," 03:30 PM"""
"ASRV","WISE ROBERT L","Director","""Apr 15",,"2","252","688","162359","""Apr 20"," 2020"," 02:07 PM"""
"CHCR","Marcus Clark A.","CEO","""Apr 17",,"0","7500","1425","144300","""Apr 20"," 2020"," 01:44 PM"""
"SIEB","Gebbia Gloria E","Director","""Apr 16",,"5","2181621","12217077","10031236","""Apr 20"," 2020"," 01:00 PM"""
"OTIVF","Medford James Scott","Director","""Apr 16",,"0","240000","48000","510000","""Apr 20"," 2020"," 11:18 AM"""
"RDGL","Korenko Michael K","President and CEO","""Apr 15",,"0","70000","1750","564315","""Apr 20"," 2020"," 09:30 AM"""
"OPK","FROST PHILLIP MD ET AL","CEO & Chairman","""Apr 17",,"1","325000","540364","189271694","""Apr 20"," 2020"," 08:06 AM"""
"JVA","Rotelli John","Director","""Apr 16",,"2","1290","3483","5298","""Apr 17"," 2020"," 08:30 PM"""
"GRWC","Kennedy Terry Joe","10% Owner","""Dec 12",,"0","1000000","50000","14834002","""Apr 17"," 2020"," 07:38 PM"""
"SPLP","LICHTENSTEIN WARREN G","Executive Chairman","""Apr 17",,"4","700","3474","187612","""Apr 17"," 2020"," 07:14 PM"""
"SPLP","LICHTENSTEIN WARREN G","Executive Chairman","""Apr 16",,"5","100","500","186912","""Apr 17"," 2020"," 07:14 PM"""
"SPLP","LICHTENSTEIN WARREN G","Executive Chairman","""Apr 15",,"4","2","10","186812","""Apr 17"," 2020"," 07:14 PM"""
"BBCP","BROWN DAVID A B","Director","""Apr 16",,"2","10590","21392","75601","""Apr 17"," 2020"," 06:55 PM"""
"BBCP","BROWN DAVID A B","Director","""Apr 16",,"2","7825","15806","83426","""Apr 17"," 2020"," 06:55 PM"""
"ECC","Tramontano Paul E.","Director","""Apr 17",,"6","10000","62000","27127","""Apr 17"," 2020"," 06:45 PM"""
"IGEN","Chan Neil Gene","CEO","""Apr 14",,"0","1000000","7000","6798111","""Apr 17"," 2020"," 05:40 PM"""
"IGEN","Chan Neil Gene","CEO","""Apr 17",,"0","500000","4000","9798111","""Apr 17"," 2020"," 05:40 PM"""
"IGEN","Chan Neil Gene","CEO","""Apr 16",,"0","500000","4500","9298111","""Apr 17"," 2020"," 05:40 PM"""
"IGEN","Chan Neil Gene","CEO","""Apr 15",,"0","2000000","14000","8798111","""Apr 17"," 2020"," 05:40 PM"""
"CONN","MARTIN DOUGLAS H","Director","""Apr 16",,"4","3000","12086","96601","""Apr 17"," 2020"," 05:40 PM"""
"CONN","MARTIN DOUGLAS H","Director","""Apr 16",,"4","6000","24559","54077","""Apr 17"," 2020"," 05:40 PM"""
"CONN","MARTIN DOUGLAS H","Director","""Apr 15",,"4","5000","21864","48077","""Apr 17"," 2020"," 05:40 PM"""
"MDIA","Standard General L.P.","10% Owner","""Apr 15",,"3","5000","17811","118431","""Apr 17"," 2020"," 05:10 PM"""
"MDIA","Standard General L.P.","10% Owner","""Apr 17",,"3","900","3211","119731","""Apr 17"," 2020"," 05:10 PM"""
"MDIA","Standard General L.P.","10% Owner","""Apr 16",,"3","400","1436","118831","""Apr 17"," 2020"," 05:10 PM"""
"ECC","Onorio Kenneth P.","CFO/COO","""Apr 17",,"6","3000","19350","25394","""Apr 17"," 2020"," 04:43 PM"""
"ECC","Majewski Thomas P.","Chief Executive Officer","""Apr 17",,"6","5000","32750","60000","""Apr 17"," 2020"," 04:34 PM"""
"TLYS","Henry Michael","CFO","""Apr 16",,"4","1000","4548","36290","""Apr 17"," 2020"," 04:32 PM"""
"BSET","SPILMAN ROBERT H JR","Chairman & CEO","""Apr 16",,"5","5000","27350","241430","""Apr 17"," 2020"," 04:21 PM"""
"BSET","SPILMAN ROBERT H JR","Chairman & CEO","""Apr 15",,"5","30000","178500","236430","""Apr 17"," 2020"," 04:21 PM"""
"GME","Sherman George E Jr","Chief Executive Officer","""Apr 17",,"4","25000","112910","1127762","""Apr 17"," 2020"," 04:19 PM"""
"ZAGG","TERINO EDWARD","Director","""Apr 17",,"3","30000","103518","30000","""Apr 17"," 2020"," 04:18 PM"""
"SHRG","DOCUMENT SECURITY SYSTEMS INC","10% Owner","""Apr 15",,"0","189080","14181","15082424","""Apr 17"," 2020"," 04:05 PM"""
"TREC","Quarles Patrick D.","President and CEO","""Apr 17",,"5","15066","85424","191802","""Apr 17"," 2020"," 03:59 PM"""
"TFFP","Fletcher Aaron G.L.","Director","""Apr 15",,"4","5581","26342","75000","""Apr 17"," 2020"," 03:06 PM"""
"MIGT","KOK SENG YEAP","CEO","""Apr 10",,"0","90000","90","99156","""Apr 17"," 2020"," 12:43 PM"""
"MIGT","KOK SENG YEAP","CEO","""Mar 24",,"0","9156","9","9156","""Apr 17"," 2020"," 12:43 PM"""
"REAL","Bjork Fredrik","Chief Technology Officer","""Apr 23",,"9","817","7835","243730","""Apr 24"," 2020"," 05:01 PM"""
"SHSP","CAT ROCK CAPITAL MANAGEMENT LP","10% Owner","""Apr 23",,"6","9828","66614","1219095","""Apr 24"," 2020"," 12:46 PM"""
"GIFI","RICHARD C D","Director","""Apr 22",,"2","500","1467","4125","""Apr 24"," 2020"," 12:15 PM"""
"TCRD","Flynn Christopher J.","CEO","""Apr 21",,"2","30600","90882","141478","""Apr 23"," 2020"," 07:39 PM"""
"SOTK","SCHWARTZ SAMUEL","Director","""Apr 22",,"2","1700","4097","1313647","""Apr 23"," 2020"," 06:07 PM"""
"SOTK","SCHWARTZ SAMUEL","Director","""Apr 21",,"2","200","470","1315347","""Apr 23"," 2020"," 06:07 PM"""
"SENS","NEW ENTERPRISE ASSOCIATES 10 L P","10% Owner","""Apr 22",,"0","119712","75861","19747649","""Apr 23"," 2020"," 05:18 PM"""
"SENS","NEW ENTERPRISE ASSOCIATES 10 L P","10% Owner","""Apr 21",,"0","45349","29998","19867361","""Apr 23"," 2020"," 05:18 PM"""
"IMMR","Haidamus Ramzi","President and CEO","""Apr 21",,"6","7611","45894","57603","""Apr 23"," 2020"," 05:10 PM"""
"HLIX","VENEGAS ZACHARY L","Chief Executive Officer","""Apr 22",,"0","5000","562","22132228","""Apr 23"," 2020"," 04:59 PM"""
"HLIX","VENEGAS ZACHARY L","Chief Executive Officer","""Apr 21",,"0","5000","620","22137228","""Apr 23"," 2020"," 04:59 PM"""
"HLIX","Ogur Scott Matthew","Chief Financial Officer","""Apr 21",,"0","5000","620","22137228","""Apr 23"," 2020"," 04:46 PM"""
"HLIX","Ogur Scott Matthew","Chief Financial Officer","""Apr 22",,"0","5000","562","22132228","""Apr 23"," 2020"," 04:46 PM"""
"HLIX","HELIX OPPORTUNITIES LLC","10% Owner","""Apr 22",,"0","5000","562","22132228","""Apr 23"," 2020"," 04:36 PM"""
"HLIX","HELIX OPPORTUNITIES LLC","10% Owner","""Apr 21",,"0","5000","620","22137228","""Apr 23"," 2020"," 04:36 PM"""
"ZNGA","Bromberg Matthew S","Chief Operating Officer","""Apr 21",,"7","12000","90360","807609","""Apr 23"," 2020"," 04:26 PM"""
"PRTH","Kiewiet Sean","Chief Technology Officer","""Apr 22",,"1","1641","2646","2357521","""Apr 23"," 2020"," 04:16 PM"""
"PRTH","Kiewiet Sean","Chief Technology Officer","""Apr 21",,"1","1426","2282","2358647","""Apr 23"," 2020"," 04:16 PM"""
"CWBR","Cundy Kenneth C","Chief Scientific Officer","""Apr 22",,"1","4700","8930","10000","""Apr 23"," 2020"," 04:10 PM"""
"CWBR","Cundy Kenneth C","Chief Scientific Officer","""Apr 21",,"1","5300","10070","10000","""Apr 23"," 2020"," 04:10 PM"""
"SHSP","CAT ROCK CAPITAL MANAGEMENT LP","10% Owner","""Apr 22",,"6","53412","363677","1228923","""Apr 23"," 2020"," 11:50 AM"""
"TIPT","Bell Sandra","Chief Financial Officer","""Apr 22",,"5","200","1074","39035","""Apr 23"," 2020"," 09:45 AM"""
"TIPT","Bell Sandra","Chief Financial Officer","""Apr 21",,"5","200","1000","39235","""Apr 23"," 2020"," 09:45 AM"""
"RDI","James J. Cotter Living Trust","10% Owner","""Apr 22",,"3","2500","9770","1757649","""Apr 22"," 2020"," 08:17 PM"""
"RDI","James J. Cotter Living Trust","10% Owner","""Apr 21",,"3","2500","9531","1760149","""Apr 22"," 2020"," 08:17 PM"""
"RDI","James J. Cotter Living Trust","10% Owner","""Apr 20",,"3","2500","9940","1762649","""Apr 22"," 2020"," 08:17 PM"""
"HLIX","HODGES PAUL E. III","Director","""Apr 20",,"0","11538","1500","760126","""Apr 22"," 2020"," 05:00 PM"""
"BDSI","ODONNELL FRANCIS E JR","Director","""Apr 20",,"4","20000","84400","632788","""Apr 22"," 2020"," 04:18 PM"""
"SHSP","CAT ROCK CAPITAL MANAGEMENT LP","10% Owner","""Apr 21",,"6","24760","148597","1282335","""Apr 22"," 2020"," 11:29 AM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","16109","21667","530238","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","2768","3593","144676","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","399","476","32165","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","15358","20657","505495","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","1294","1680","67627","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","266","317","21410","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","36224","43179","2917829","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","4479","6024","147444","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","623","809","32564","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","6380","7605","513904","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","2094","2816","68921","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","415","539","21676","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","56517","73359","2954053","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","6082","7250","489923","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","1008","1356","33187","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","9954","12920","520284","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","1774","2115","142902","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","671","902","22091","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 17",,"1","91465","123020","3010570","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 20",,"1","9490","12318","496005","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCFF MANAGEMENT LLC","10% Owner","""Apr 21",,"1","829","988","66798","""Apr 21"," 2020"," 09:53 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","2094","2816","68921","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","415","539","21676","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","56517","73359","2954053","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","6082","7250","489923","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 17",,"1","1008","1356","33187","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 20",,"1","9954","12920","520284","""Apr 21"," 2020"," 09:49 PM"""
"ELVT","SCGF III MANAGEMENT LLC","10% Owner","""Apr 21",,"1","1774","2115","142902","""Apr 21"," 2020"," 09:49 PM"""
